run_dir,detector,ratio,thresh_px,kp1,kp2,matches_raw,matches_ratio,inliers,inlier_ratio,median_desc_dist,match_time_ms
run_20250926_092038,sift,0.8,4.0,3692,3806,3692,852,173,0.203052,115.94200000000001,5938.072
run_20250926_092121,orb,0.8,4.0,5000,5000,5000,910,241,0.264835,28.0,2647.0589999999997
run_20250926_092155,akaze,0.8,4.0,6524,6511,6524,1210,308,0.254545,336.527,21798.690000000002
run_20250926_092253,sift,0.8,4.0,4386,6352,4386,1048,634,0.604962,114.17500000000001,12034.614
run_20250926_092312,orb,0.8,4.0,5000,5000,5000,749,637,0.850467,32.0,2652.6940000000004
run_20250926_092320,akaze,0.8,4.0,2561,2907,2561,376,322,0.856383,338.465,3847.922
run_20250926_151202,sift,0.8,4.0,3692,3806,3692,852,173,0.203052,115.94200000000001,6400.373
run_20250926_151255,orb,0.8,4.0,5000,5000,5000,910,241,0.264835,28.0,2942.0530000000003
run_20250926_151331,akaze,0.8,4.0,6524,6511,6524,1210,308,0.254545,336.527,22854.454
run_20250926_151433,sift,0.8,4.0,1695,1899,1695,580,455,0.784483,123.14850000000001,1563.757
run_20250926_151442,orb,0.8,4.0,5000,5000,5000,1349,1211,0.897702,32.0,3285.7110000000002
run_20250926_151456,akaze,0.8,4.0,2636,2531,2636,696,664,0.954023,356.1,3476.283
run_20250926_151507,sift,0.8,4.0,4386,6352,4386,1048,634,0.604962,114.17500000000001,12250.732
run_20250926_151527,orb,0.8,4.0,5000,5000,5000,749,637,0.850467,32.0,2684.792
run_20250926_151535,akaze,0.8,4.0,2561,2907,2561,376,322,0.856383,338.465,4045.675
